"","state","n","0_runs","1_runs","2_runs","3_runs","4_runs","5_runs","6_runs","7_runs","8_runs","9_runs","10_runs"
"1","123-0",3051,445,734,628,452,386,212,107,54,19,9,3
"2","123-1",6946,2280,1751,1086,690,663,298,116,41,12,5,4
"3","123-2",9035,6057,910,962,458,454,132,45,11,3,3,0
"4","12_-0",11387,4325,2431,1722,1467,762,389,163,76,28,16,3
"5","12_-1",19883,11558,3115,2098,1833,761,309,132,55,14,2,5
"6","12_-2",24539,18961,2529,1342,1168,374,108,34,15,2,3,2
"7","1_3-0",3815,587,1550,656,546,256,121,64,21,9,4,1
"8","1_3-1",8577,3094,3121,1011,769,336,140,62,26,12,6,0
"9","1_3-2",12004,8665,1757,703,591,192,54,24,11,4,3,0
"10","1__-0",46734,27068,7583,6228,3142,1486,720,275,138,53,23,11
"11","1__-1",57700,42131,6507,5175,2376,921,359,140,53,25,5,7
"12","1__-2",59029,51505,3437,2756,917,283,87,25,13,3,2,0
"13","_23-0",2868,445,722,841,409,252,109,45,28,11,2,4
"14","_23-1",6692,2188,1787,1456,682,342,152,55,18,6,2,4
"15","_23-2",8124,6045,408,1095,359,149,44,19,4,1,0,0
"16","_2_-0",13650,5372,4359,2016,1033,492,209,94,44,18,10,2
"17","_2_-1",22519,13373,5142,2333,1017,408,156,59,24,4,3,0
"18","_2_-2",29764,23417,4179,1462,480,156,44,16,8,2,0,0
"19","__3-0",1832,306,978,279,150,75,27,8,7,1,1,0
"20","__3-1",6585,2278,3060,709,322,138,44,17,12,4,1,0
"21","__3-2",11136,8223,2030,584,213,57,13,10,4,1,1,0
"22","___-0",196846,142210,29039,13934,6590,2888,1284,511,232,88,38,19
"23","___-1",143833,120086,14233,5671,2413,889,329,136,49,16,5,4
"24","___-2",115263,106964,5717,1782,561,175,38,15,8,0,2,0
